Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5,HomeResult,AwayResult
League One,2021-08-07,Charlton,Sheffield Weds,0,0,D,0.0,0.0,D,11.0,6.0,0.0,1.0,16.0,14.0,9.0,6.0,1.0,3.0,0.0,0.0,2.17,1.67,D,D
League One,2021-08-07,Wycombe,Accrington,2,1,L,2.0,0.0,H,17.0,8.0,4.0,3.0,14.0,14.0,6.0,3.0,0.0,1.0,0.0,0.0,1.97,1.81,W,L
League One,2021-08-07,Sunderland,Wigan,2,1,L,1.0,1.0,D,16.0,8.0,3.0,3.0,16.0,20.0,7.0,2.0,1.0,4.0,0.0,0.0,1.9,1.89,W,L
League One,2021-08-07,Shrewsbury,Burton,0,1,W,0.0,1.0,A,12.0,14.0,2.0,5.0,12.0,14.0,8.0,3.0,1.0,2.0,0.0,0.0,2.25,1.63,L,W
League One,2021-08-07,Rotherham,Plymouth,2,0,L,2.0,0.0,H,18.0,7.0,6.0,2.0,16.0,7.0,10.0,8.0,2.0,0.0,0.0,0.0,1.91,1.88,W,L
League One,2021-08-07,Ipswich,Morecambe,2,2,D,0.0,1.0,A,13.0,6.0,3.0,2.0,18.0,13.0,10.0,3.0,3.0,2.0,0.0,0.0,1.81,1.99,D,D
League One,2021-08-07,Gillingham,Lincoln,1,1,D,1.0,1.0,D,17.0,10.0,6.0,4.0,12.0,9.0,5.0,4.0,2.0,2.0,0.0,0.0,2.03,1.78,D,D
League One,2021-08-07,Fleetwood Town,Portsmouth,0,1,W,0.0,0.0,D,13.0,9.0,4.0,2.0,7.0,11.0,6.0,2.0,0.0,3.0,0.0,0.0,2.26,1.63,L,W
League One,2021-08-07,Doncaster,AFC Wimbledon,1,2,W,0.0,0.0,D,9.0,6.0,1.0,3.0,11.0,15.0,6.0,6.0,0.0,3.0,0.0,0.0,2.03,1.77,L,W
League One,2021-08-07,Crewe,Cheltenham,1,1,D,1.0,1.0,D,7.0,12.0,1.0,6.0,15.0,14.0,3.0,2.0,1.0,1.0,0.0,0.0,2.09,1.74,D,D
League One,2021-08-07,Cambridge,Oxford,1,1,D,0.0,1.0,A,9.0,11.0,1.0,3.0,7.0,12.0,3.0,4.0,1.0,2.0,0.0,0.0,1.94,1.85,D,D
League One,2021-08-07,Bolton,Milton Keynes Dons,3,3,D,1.0,1.0,D,17.0,10.0,4.0,4.0,15.0,10.0,3.0,2.0,1.0,0.0,0.0,0.0,1.83,1.96,D,D
League Two,2021-08-07,Scunthorpe,Swindon,1,3,W,0.0,0.0,D,11.0,16.0,4.0,8.0,20.0,8.0,6.0,4.0,0.0,3.0,0.0,0.0,2.1,1.72,L,W
League Two,2021-08-07,Stevenage,Barrow,1,0,L,0.0,0.0,D,9.0,10.0,3.0,2.0,20.0,14.0,1.0,4.0,4.0,6.0,0.0,0.0,2.25,1.63,W,L
Ligue 1,2021-08-07,Troyes,Paris SG,1,2,W,1.0,2.0,A,15.0,12.0,7.0,3.0,3.0,15.0,9.0,1.0,1.0,4.0,0.0,0.0,1.57,2.4,L,W
Portugal Prem,2021-08-07,Arouca,Estoril,0,2,W,0.0,1.0,A,11.0,12.0,3.0,6.0,14.0,13.0,3.0,2.0,1.0,3.0,0.0,0.0,2.3,1.61,L,W
Portugal Prem,2021-08-07,Moreirense,Benfica,1,2,W,1.0,2.0,A,8.0,9.0,3.0,6.0,20.0,18.0,0.0,6.0,4.0,4.0,0.0,1.0,1.65,2.23,L,W
Championship,2021-08-07,Stoke,Reading,3,2,L,2.0,1.0,H,18.0,11.0,6.0,5.0,16.0,7.0,6.0,9.0,0.0,2.0,0.0,0.0,2.43,1.56,W,L
Championship,2021-08-07,Sheffield United,Birmingham,0,1,W,0.0,1.0,A,16.0,9.0,2.0,2.0,3.0,12.0,8.0,2.0,1.0,6.0,0.0,0.0,2.25,1.64,L,W
Portugal Prem,2021-08-07,Maritimo,Sp Braga,0,2,W,0.0,0.0,D,7.0,12.0,0.0,5.0,23.0,12.0,3.0,6.0,3.0,3.0,0.0,0.0,1.89,1.92,L,W
League Two,2021-08-07,Tranmere,Walsall,1,0,L,0.0,0.0,D,10.0,17.0,3.0,4.0,13.0,17.0,8.0,2.0,3.0,2.0,1.0,0.0,2.17,1.68,W,L
Championship,2021-08-08,Fulham,Middlesbrough,1,1,D,1.0,0.0,H,16.0,7.0,3.0,1.0,14.0,14.0,4.0,2.0,2.0,3.0,0.0,0.0,2.07,1.76,D,D
Championship,2021-08-08,Coventry,Nott'm Forest,2,1,L,0.0,1.0,A,12.0,10.0,6.0,2.0,16.0,12.0,0.0,5.0,4.0,1.0,0.0,0.0,2.45,1.55,W,L
Portugal Prem,2021-08-08,Pacos Ferreira,Famalicao,2,0,L,0.0,0.0,D,20.0,10.0,3.0,2.0,33.0,20.0,6.0,3.0,2.0,4.0,0.0,0.0,2.34,1.59,W,L
Portugal Prem,2021-08-08,Porto,Belenenses,2,0,L,1.0,0.0,H,21.0,7.0,7.0,3.0,11.0,15.0,8.0,3.0,2.0,3.0,0.0,0.0,1.56,2.41,W,L
Ligue 1,2021-08-08,Rennes,Lens,1,1,D,1.0,1.0,D,10.0,11.0,2.0,6.0,10.0,14.0,3.0,9.0,0.0,2.0,0.0,0.0,1.97,1.85,D,D
Ligue 1,2021-08-08,Bordeaux,Clermont,0,2,W,0.0,0.0,D,10.0,19.0,6.0,10.0,13.0,9.0,5.0,10.0,1.0,0.0,0.0,0.0,2.12,1.73,L,W
Ligue 1,2021-08-08,Nice,Reims,0,0,D,0.0,0.0,D,12.0,5.0,2.0,0.0,10.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0,2.05,1.78,D,D
Ligue 1,2021-08-08,St Etienne,Lorient,1,1,D,0.0,0.0,D,20.0,12.0,3.0,3.0,10.0,14.0,8.0,4.0,2.0,3.0,0.0,0.0,1.91,1.91,D,D
Ligue 1,2021-08-08,Strasbourg,Angers,0,2,W,0.0,0.0,D,7.0,9.0,1.0,2.0,18.0,18.0,5.0,4.0,2.0,3.0,0.0,0.0,2.17,1.7,L,W
Ligue 1,2021-08-08,Metz,Lille,3,3,D,2.0,1.0,H,12.0,18.0,5.0,7.0,9.0,10.0,4.0,5.0,1.0,2.0,1.0,0.0,2.32,1.62,D,D
Ligue 1,2021-08-08,Montpellier,Marseille,2,3,W,2.0,0.0,H,8.0,21.0,1.0,7.0,10.0,5.0,6.0,11.0,0.0,1.0,0.0,0.0,1.87,1.95,L,W
Belgian Pro,2021-08-08,Oostende,Gent,1,0,L,0.0,0.0,D,7.0,13.0,3.0,0.0,10.0,9.0,6.0,6.0,3.0,1.0,0.0,0.0,1.64,2.23,W,L
Scottish Prem,2021-08-08,Celtic,Dundee,6,0,L,2.0,0.0,H,31.0,3.0,15.0,0.0,11.0,12.0,11.0,3.0,0.0,1.0,0.0,1.0,1.53,2.45,W,L
Scottish Prem,2021-08-08,Hibernian,Ross County,3,0,L,3.0,0.0,H,18.0,8.0,6.0,0.0,7.0,11.0,11.0,4.0,0.0,2.0,0.0,0.0,1.87,1.92,W,L
Scottish Prem,2021-08-08,St Johnstone,Motherwell,1,1,D,1.0,0.0,H,12.0,10.0,4.0,5.0,12.0,10.0,8.0,6.0,2.0,2.0,0.0,0.0,2.27,1.62,D,D
Belgian Pro,2021-08-08,Anderlecht,Seraing,3,0,L,0.0,0.0,D,19.0,4.0,7.0,1.0,14.0,13.0,8.0,2.0,2.0,2.0,0.0,1.0,1.59,2.31,W,L
Belgian Pro,2021-08-08,Oud-Heverlee Leuven,Charleroi,1,1,D,0.0,1.0,A,21.0,21.0,4.0,9.0,6.0,13.0,7.0,9.0,1.0,1.0,0.0,0.0,1.78,2.02,D,D
Scottish Prem,2021-08-08,Livingston,Aberdeen,1,2,W,1.0,0.0,H,13.0,11.0,5.0,3.0,21.0,12.0,6.0,2.0,5.0,0.0,0.0,0.0,2.43,1.54,L,W
Portugal Prem,2021-08-08,Guimaraes,Portimonense,0,1,W,0.0,0.0,D,18.0,7.0,3.0,1.0,15.0,12.0,10.0,5.0,2.0,3.0,0.0,0.0,2.21,1.66,L,W
Portugal Prem,2021-08-08,Tondela,Santa Clara,3,0,L,1.0,0.0,H,10.0,23.0,5.0,5.0,18.0,12.0,3.0,5.0,1.0,3.0,0.0,0.0,2.15,1.7,W,L
Belgian Pro,2021-08-08,Standard,Antwerp,2,5,W,0.0,2.0,A,20.0,12.0,9.0,6.0,11.0,16.0,9.0,1.0,3.0,5.0,0.0,0.0,1.88,1.92,L,W
Portugal Prem,2021-08-09,Gil Vicente,Boavista,3,0,L,2.0,0.0,H,9.0,13.0,6.0,5.0,21.0,10.0,1.0,5.0,3.0,3.0,0.0,0.0,2.4,1.56,W,L
Ligue 1,2021-08-13,Lorient,Monaco,1,0,L,1.0,0.0,H,2.0,12.0,2.0,3.0,17.0,15.0,0.0,6.0,3.0,2.0,0.0,0.0,1.96,1.87,W,L
Portugal Prem,2021-08-13,Estoril,Guimaraes,0,0,D,0.0,0.0,D,7.0,12.0,1.0,2.0,15.0,14.0,4.0,9.0,1.0,4.0,0.0,1.0,2.21,1.67,D,D
Belgian Pro,2021-08-13,Charleroi,Antwerp,1,1,D,0.0,1.0,A,23.0,10.0,7.0,7.0,6.0,6.0,12.0,1.0,1.0,2.0,0.0,0.0,1.8,2.01,D,D
Eredivisie,2021-08-13,Go Ahead Eagles,Heerenveen,0,1,W,0.0,1.0,A,11.0,19.0,3.0,5.0,9.0,9.0,3.0,11.0,0.0,0.0,0.0,0.0,1.95,1.86,L,W
Bundesliga,2021-08-13,M'gladbach,Bayern Munich,1,1,D,1.0,1.0,D,11.0,20.0,5.0,10.0,7.0,4.0,3.0,8.0,2.0,0.0,0.0,0.0,1.4,2.96,D,D
Premier League,2021-08-13,Brentford,Arsenal,2,0,L,1.0,0.0,H,8.0,22.0,3.0,4.0,12.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,2.16,1.73,W,L
La Liga,2021-08-13,Valencia,Getafe,1,0,L,1.0,0.0,H,4.0,22.0,2.0,4.0,24.0,15.0,1.0,9.0,6.0,3.0,1.0,1.0,2.65,1.49,W,L
Premier League,2021-08-14,Burnley,Brighton,1,2,W,1.0,0.0,H,14.0,14.0,3.0,8.0,10.0,7.0,7.0,6.0,2.0,1.0,0.0,0.0,2.46,1.57,L,W
Ligue 1,2021-08-14,Lille,Nice,0,4,W,0.0,3.0,A,11.0,11.0,2.0,7.0,9.0,13.0,8.0,7.0,3.0,1.0,0.0,0.0,2.11,1.74,L,W
Championship,2021-08-14,Peterboro,Derby,2,1,L,0.0,0.0,D,13.0,7.0,4.0,2.0,9.0,13.0,2.0,5.0,4.0,2.0,0.0,0.0,2.18,1.69,W,L
Championship,2021-08-14,Barnsley,Coventry,1,0,L,1.0,0.0,H,8.0,12.0,1.0,2.0,16.0,14.0,1.0,5.0,8.0,2.0,0.0,0.0,2.2,1.68,W,L
Championship,2021-08-14,Birmingham,Stoke,0,0,D,0.0,0.0,D,9.0,8.0,2.0,2.0,7.0,8.0,7.0,6.0,1.0,2.0,0.0,0.0,2.48,1.54,D,D
Championship,2021-08-14,Blackpool,Cardiff,0,2,W,0.0,0.0,D,8.0,17.0,2.0,8.0,9.0,18.0,5.0,3.0,1.0,1.0,0.0,0.0,2.23,1.66,L,W
La Liga,2021-08-14,Cadiz,Levante,1,1,D,0.0,1.0,A,7.0,12.0,2.0,3.0,10.0,16.0,2.0,4.0,1.0,5.0,0.0,0.0,2.07,1.78,D,D
Portugal Prem,2021-08-14,Vizela,Tondela,2,1,L,0.0,1.0,A,20.0,8.0,6.0,2.0,18.0,11.0,11.0,4.0,2.0,3.0,0.0,0.0,2.27,1.63,W,L
Portugal Prem,2021-08-14,Benfica,Arouca,2,0,L,2.0,0.0,H,17.0,3.0,5.0,1.0,17.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,1.6,2.31,W,L
Portugal Prem,2021-08-14,Sp Braga,Sp Lisbon,1,2,W,0.0,1.0,A,16.0,5.0,6.0,3.0,18.0,14.0,6.0,5.0,3.0,4.0,0.0,1.0,2.07,1.76,L,W
League Two,2021-08-14,Salford,Sutton,0,0,D,0.0,0.0,D,15.0,9.0,6.0,3.0,14.0,10.0,3.0,2.0,3.0,1.0,0.0,0.0,2.14,1.69,D,D
League Two,2021-08-14,Rochdale,Scunthorpe,0,0,D,0.0,0.0,D,15.0,11.0,2.0,2.0,5.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,2.11,1.72,D,D
Ligue 1,2021-08-14,Paris SG,Strasbourg,4,2,L,3.0,0.0,H,11.0,8.0,6.0,2.0,6.0,18.0,4.0,4.0,1.0,4.0,0.0,1.0,1.4,2.96,W,L
League Two,2021-08-14,Port Vale,Tranmere,0,0,D,0.0,0.0,D,14.0,10.0,3.0,2.0,16.0,10.0,7.0,3.0,0.0,2.0,0.0,0.0,2.17,1.67,D,D
League Two,2021-08-14,Leyton Orient,Exeter,3,0,L,2.0,0.0,H,10.0,8.0,7.0,4.0,8.0,11.0,3.0,7.0,1.0,0.0,0.0,1.0,1.91,1.88,W,L
League Two,2021-08-14,Colchester,Northampton,0,1,W,0.0,1.0,A,12.0,8.0,5.0,3.0,10.0,15.0,8.0,3.0,0.0,3.0,0.0,1.0,2.16,1.68,L,W
League Two,2021-08-14,Bristol Rvs,Stevenage,0,2,W,0.0,0.0,D,7.0,8.0,1.0,2.0,9.0,20.0,2.0,2.0,1.0,1.0,0.0,0.0,2.16,1.68,L,W
Championship,2021-08-14,Huddersfield,Fulham,1,5,W,1.0,3.0,A,9.0,15.0,2.0,11.0,10.0,9.0,5.0,7.0,1.0,1.0,0.0,1.0,2.17,1.7,L,W
Championship,2021-08-14,Hull,QPR,0,3,W,0.0,1.0,A,12.0,14.0,4.0,8.0,6.0,7.0,7.0,2.0,0.0,0.0,1.0,0.0,2.02,1.81,L,W
Championship,2021-08-14,Middlesbrough,Bristol City,2,1,L,1.0,0.0,H,13.0,10.0,7.0,2.0,15.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,2.19,1.69,W,L
Championship,2021-08-14,Millwall,Blackburn,1,1,D,0.0,0.0,D,15.0,2.0,2.0,1.0,10.0,15.0,7.0,3.0,1.0,2.0,0.0,0.0,2.27,1.64,D,D
Championship,2021-08-14,Nott'm Forest,Bournemouth,1,2,W,0.0,1.0,A,15.0,8.0,5.0,3.0,8.0,16.0,6.0,4.0,2.0,1.0,0.0,1.0,2.18,1.69,L,W
Championship,2021-08-14,Reading,Preston,2,1,L,1.0,0.0,H,12.0,13.0,2.0,5.0,11.0,16.0,2.0,12.0,3.0,0.0,0.0,0.0,2.11,1.74,W,L
Championship,2021-08-14,West Brom,Luton,3,2,L,2.0,0.0,H,18.0,11.0,6.0,5.0,15.0,9.0,8.0,4.0,2.0,2.0,0.0,0.0,1.97,1.86,W,L
Championship,2021-08-14,Swansea,Sheffield United,0,0,D,0.0,0.0,D,8.0,8.0,1.0,2.0,8.0,14.0,1.0,6.0,1.0,2.0,0.0,0.0,2.27,1.64,D,D
League Two,2021-08-14,Mansfield,Newport County,2,1,L,2.0,1.0,H,9.0,9.0,5.0,4.0,18.0,12.0,3.0,5.0,2.0,3.0,0.0,0.0,2.15,1.68,W,L
League Two,2021-08-14,Bradford,Oldham,2,1,L,1.0,0.0,H,19.0,12.0,4.0,2.0,16.0,9.0,6.0,7.0,3.0,3.0,0.0,0.0,1.83,1.96,W,L
League Two,2021-08-14,Swindon,Carlisle,1,2,W,1.0,2.0,A,14.0,11.0,4.0,7.0,10.0,14.0,3.0,7.0,1.0,2.0,1.0,0.0,2.1,1.72,L,W
League One,2021-08-14,Accrington,Cambridge,2,1,L,2.0,0.0,H,14.0,16.0,6.0,4.0,15.0,12.0,3.0,11.0,3.0,0.0,0.0,0.0,2.0,1.81,W,L
Eredivisie,2021-08-14,Waalwijk,AZ Alkmaar,1,0,L,1.0,0.0,H,7.0,19.0,2.0,5.0,12.0,7.0,4.0,6.0,0.0,2.0,0.0,0.0,1.47,2.65,W,L
Eredivisie,2021-08-14,Heracles,PSV Eindhoven,0,2,W,0.0,1.0,A,6.0,19.0,2.0,6.0,10.0,12.0,2.0,11.0,2.0,2.0,0.0,0.0,1.52,2.52,L,W
Eredivisie,2021-08-14,For Sittard,Twente,2,1,L,0.0,1.0,A,6.0,13.0,4.0,1.0,10.0,10.0,8.0,5.0,2.0,2.0,0.0,0.0,1.77,2.05,W,L
Eredivisie,2021-08-14,Ajax,Nijmegen,5,0,L,5.0,0.0,H,25.0,7.0,9.0,1.0,6.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.28,3.6,W,L
Belgian Pro,2021-08-14,Genk,Oud-Heverlee Leuven,4,0,L,1.0,0.0,H,21.0,15.0,8.0,6.0,11.0,15.0,7.0,6.0,1.0,4.0,0.0,0.0,1.48,2.61,W,L
