Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HTR,AvgH,AvgD,AvgA,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,FTR,Avg>2.5,Avg<2.5,SHG,SAG
E0,2022-08-06,Everton,Chelsea,0.0,1.0,0.0,1.0,A,5.74,3.96,1.63,14.0,11.0,8.0,15.0,4.0,6.0,4.0,16.0,3.0,2.0,0.0,0.0,A,1.99,1.84,0.0,0.0
E2,2022-08-06,Exeter,Port Vale,4.0,0.0,2.0,0.0,H,2.33,3.22,3.08,11.0,8.0,18.0,6.0,7.0,2.0,4.0,7.0,2.0,0.0,0.0,0.0,H,2.13,1.68,2.0,0.0
E2,2022-08-06,Fleetwood Town,Plymouth,2.0,1.0,1.0,1.0,D,3.09,3.38,2.24,16.0,15.0,11.0,15.0,4.0,5.0,2.0,10.0,1.0,4.0,0.0,0.0,H,1.95,1.83,1.0,0.0
N1,2022-08-06,For Sittard,Ajax,2.0,3.0,1.0,0.0,H,11.93,6.87,1.21,15.0,12.0,13.0,15.0,2.0,4.0,3.0,10.0,3.0,0.0,0.0,0.0,A,1.35,3.11,1.0,3.0
E2,2022-08-06,Forest Green,Ipswich,1.0,2.0,0.0,2.0,A,3.55,3.36,2.07,12.0,15.0,9.0,20.0,5.0,10.0,3.0,8.0,1.0,1.0,0.0,0.0,A,2.05,1.74,1.0,0.0
E0,2022-08-06,Fulham,Liverpool,2.0,2.0,1.0,0.0,H,10.99,6.05,1.28,7.0,9.0,9.0,11.0,3.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,D,1.48,2.63,1.0,2.0
B1,2022-08-06,Genk,Eupen,4.0,2.0,3.0,1.0,H,1.35,5.3,7.43,9.0,15.0,24.0,9.0,14.0,5.0,8.0,2.0,0.0,3.0,0.0,1.0,H,1.44,2.72,1.0,1.0
E3,2022-08-06,Gillingham,Rochdale,1.0,0.0,1.0,0.0,H,2.22,3.28,3.22,12.0,15.0,13.0,5.0,5.0,1.0,7.0,6.0,3.0,1.0,0.0,0.0,H,2.06,1.72,0.0,0.0
E3,2022-08-06,Grimsby,Northampton,1.0,1.0,0.0,0.0,D,2.97,3.22,2.38,17.0,16.0,23.0,8.0,9.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,D,2.14,1.66,1.0,1.0
E3,2022-08-06,Hartlepool,AFC Wimbledon,0.0,0.0,0.0,0.0,D,2.58,3.18,2.73,12.0,12.0,12.0,7.0,2.0,4.0,6.0,5.0,3.0,0.0,0.0,0.0,D,2.15,1.66,0.0,0.0
B1,2022-08-06,Kortrijk,St Truiden,0.0,0.0,0.0,0.0,D,3.07,3.26,2.33,12.0,16.0,10.0,18.0,4.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,D,2.05,1.75,0.0,0.0
E0,2022-08-06,Leeds,Wolves,2.0,1.0,1.0,1.0,D,2.34,3.34,3.18,13.0,9.0,12.0,15.0,4.0,6.0,6.0,4.0,2.0,0.0,0.0,0.0,H,2.03,1.81,1.0,0.0
D1,2022-08-06,M'gladbach,Hoffenheim,3.0,1.0,1.0,1.0,D,2.14,4.04,3.05,18.0,12.0,18.0,2.0,8.0,1.0,4.0,2.0,1.0,4.0,0.0,1.0,H,1.37,3.09,2.0,0.0
E3,2022-08-06,Mansfield,Tranmere,1.0,0.0,0.0,0.0,D,1.8,3.55,4.36,15.0,10.0,17.0,6.0,9.0,3.0,12.0,4.0,2.0,1.0,0.0,0.0,H,2.05,1.73,1.0,0.0
B1,2022-08-06,Mechelen,St. Gilloise,3.0,0.0,1.0,0.0,H,3.14,3.58,2.14,14.0,12.0,6.0,6.0,4.0,2.0,3.0,5.0,2.0,5.0,0.0,0.0,H,1.68,2.16,2.0,0.0
E2,2022-08-06,Milton Keynes Dons,Sheffield Weds,0.0,1.0,0.0,1.0,A,3.13,3.26,2.29,8.0,14.0,10.0,15.0,5.0,4.0,5.0,3.0,0.0,4.0,0.0,0.0,A,2.12,1.69,0.0,0.0
SC0,2022-08-06,Motherwell,St Johnstone,1.0,2.0,0.0,1.0,A,2.21,3.09,3.48,17.0,9.0,12.0,10.0,2.0,3.0,4.0,6.0,1.0,3.0,0.0,0.0,A,2.45,1.53,1.0,1.0
E0,2022-08-06,Newcastle,Nott'm Forest,2.0,0.0,0.0,0.0,D,1.67,3.8,5.57,9.0,14.0,23.0,5.0,10.0,0.0,11.0,1.0,0.0,3.0,0.0,0.0,H,2.03,1.81,2.0,0.0
E3,2022-08-06,Newport County,Walsall,0.0,1.0,0.0,0.0,D,2.08,3.22,3.63,8.0,15.0,13.0,3.0,2.0,0.0,7.0,1.0,0.0,3.0,0.0,1.0,A,2.22,1.62,0.0,1.0
E1,2022-08-06,Norwich,Wigan,1.0,1.0,0.0,1.0,A,1.71,3.67,5.1,6.0,13.0,22.0,6.0,4.0,3.0,9.0,0.0,0.0,4.0,0.0,0.0,D,2.02,1.79,1.0,0.0
E2,2022-08-06,Oxford,Cambridge,1.0,0.0,0.0,0.0,D,1.7,3.75,4.78,13.0,11.0,15.0,9.0,6.0,0.0,7.0,3.0,2.0,1.0,0.0,0.0,H,1.82,1.96,1.0,0.0
N1,2022-08-06,PSV Eindhoven,FC Emmen,4.0,1.0,3.0,0.0,H,1.21,6.73,12.84,6.0,12.0,11.0,6.0,6.0,2.0,3.0,6.0,0.0,1.0,0.0,0.0,H,1.47,2.64,1.0,1.0
E2,2022-08-06,Peterboro,Morecambe,3.0,0.0,2.0,0.0,H,1.49,4.34,6.23,16.0,10.0,18.0,7.0,9.0,2.0,9.0,2.0,1.0,1.0,0.0,0.0,H,1.78,2.0,1.0,0.0
E2,2022-08-06,Portsmouth,Lincoln,0.0,0.0,0.0,0.0,D,1.78,3.68,4.34,10.0,15.0,16.0,4.0,6.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,D,1.85,1.92,0.0,0.0
E1,2022-08-06,Preston,Hull,0.0,0.0,0.0,0.0,D,1.97,3.42,3.97,13.0,10.0,20.0,6.0,6.0,1.0,4.0,1.0,1.0,4.0,0.0,0.0,D,2.11,1.73,0.0,0.0
E1,2022-08-06,QPR,Middlesbrough,3.0,2.0,3.0,1.0,H,3.0,3.33,2.4,12.0,12.0,10.0,12.0,5.0,3.0,5.0,5.0,2.0,2.0,0.0,1.0,H,2.05,1.76,0.0,1.0
SC0,2022-08-06,Rangers,Kilmarnock,2.0,0.0,0.0,0.0,D,1.21,6.37,13.53,13.0,17.0,18.0,4.0,4.0,0.0,8.0,3.0,0.0,6.0,0.0,0.0,H,1.54,2.41,2.0,0.0
E1,2022-08-06,Reading,Cardiff,2.0,1.0,1.0,1.0,D,2.55,3.16,2.91,17.0,16.0,8.0,6.0,2.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,H,2.28,1.62,1.0,0.0
SC0,2022-08-06,Ross County,Celtic,1.0,3.0,0.0,0.0,D,12.3,6.37,1.21,10.0,4.0,5.0,23.0,2.0,7.0,3.0,12.0,4.0,2.0,0.0,0.0,A,1.49,2.53,1.0,3.0
E1,2022-08-06,Sheffield United,Millwall,2.0,0.0,2.0,0.0,H,1.85,3.43,4.54,12.0,10.0,19.0,11.0,6.0,1.0,3.0,5.0,3.0,2.0,0.0,0.0,H,2.21,1.66,0.0,0.0
