Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes,Team
5,2024-08-31,Matchweek 3,Home,Yoane Wissa,Southampton,Y,0.54,0.87,Right Foot,1,69,2-0,Aaron Ramsdale,,Mathias Jensen,Pass (Dead),Bryan Mbeumo,Pass (Live),Volley,Brentford
6,2024-09-14,Matchweek 4,Away,Yoane Wissa,Manchester City,Y,0.34,0.97,Head,4,1,0-0,Ederson,,Kristoffer Ajer,Pass (Live),Yoane Wissa,Pass (Live),,Brentford
7,2024-09-21,Matchweek 5,Away,Bryan Mbeumo,Tottenham,Y,0.10,0.54,Left Foot,12,1,0-0,Guglielmo Vicario,Keane Lewis-Potter,Keane Lewis-Potter,Pass (Live),Yehor Yarmoliuk,Pass (Live),Volley,Brentford
8,2024-09-28,Matchweek 6,Home,Bryan Mbeumo,West Ham,Y,0.13,0.73,Left Foot,15,1,0-0,Alphonse Areola,Fabio Carvalho,Fabio Carvalho,Pass (Live),Kristoffer Ajer,Pass (Live),Volley,Brentford
9,2024-10-05,Matchweek 7,Home,Nathan Collins,Wolves,Y,0.53,0.66,Head,5,2,0-0,Sam Johnstone,Mikkel Damsgaard,Mikkel Damsgaard,Pass (Live),Bryan Mbeumo,Pass (Live),,Brentford
10,2024-10-05,Matchweek 7,Home,Bryan Mbeumo,Wolves,Y,0.79,0.87,Left Foot,13,20,1-1,Sam Johnstone,,Nathan Collins,Fouled,Mikkel Damsgaard,Pass (Live),,Brentford
11,2024-10-05,Matchweek 7,Home,Christian Nørgaard,Wolves,Y*,0.31,0.77,Right Foot,11,28,2-2,Sam Johnstone,Vitaly Janelt,Vitaly Janelt,Pass (Live),Bryan Mbeumo,Pass (Live),,Brentford
12,2024-10-05,Matchweek 7,Home,Ethan Pinnock,Wolves,Y,0.03,0.20,Head,10,45+2,3-2,Sam Johnstone,Mikkel Damsgaard,Mikkel Damsgaard,Pass (Dead),,,,Brentford
13,2024-10-05,Matchweek 7,Home,Fabio Carvalho,Wolves,N,0.89,0.99,Right Foot,5,90,4-2,Sam Johnstone,,Mikkel Damsgaard,Pass (Live),Yehor Yarmoliuk,Pass (Live),,Brentford
14,2024-10-19,Matchweek 8,Away,Ethan Pinnock,Manchester Utd,Y,0.42,0.97,Head,5,45+5,0-0,André Onana,Mikkel Damsgaard,Mikkel Damsgaard,Pass (Dead),Christian Nørgaard,Pass (Live),,Brentford
