Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes,Team
10,2024-10-05,Matchweek 7,Home,Lucas Paquetá,Ipswich Town,Y,0.90,0.99,Right Foot,4,69,3-1,Arijanet Muric,,Michail Antonio,Shot,,,,West Ham
11,2024-10-19,Matchweek 8,Away,Mohammed Kudus,Tottenham,Y,0.07,0.76,Right Foot,10,18,0-0,Guglielmo Vicario,,Aaron Wan-Bissaka,Pass (Live),Aaron Wan-Bissaka,Shot,,West Ham
12,2024-10-27,Matchweek 9,Home,Crysencio Summerville,Manchester Utd,N,0.53,0.91,Right Foot,3,74,0-0,André Onana,Danny Ings,Danny Ings,Shot,,,,West Ham
13,2024-10-27,Matchweek 9,Home,Jarrod Bowen,Manchester Utd,Y*,0.79,0.92,Left Foot,13,90+2,1-1,André Onana,,Danny Ings,Fouled,Aaron Wan-Bissaka,Pass (Live),,West Ham
1,2024-08-25,Matchweek 2,Home,Matheus Cunha,Chelsea,Y,0.46,0.16,Right Foot,11,27,0-1,Robert Sánchez,Rayan Aït-Nouri,Rayan Aït-Nouri,Pass (Live),Jean-Ricner Bellegarde,Tackle,,Wolves
2,2024-08-25,Matchweek 2,Home,Jørgen Strand Larsen,Chelsea,Y,0.49,0.56,Right Foot,8,45+6,1-2,Robert Sánchez,Toti Gomes,Toti Gomes,Pass (Live),Rayan Aït-Nouri,Pass (Dead),Volley,Wolves
3,2024-08-31,Matchweek 3,Away,Jean-Ricner Bellegarde,Nott'ham Forest,Y,0.04,0.36,Right Foot,27,12,0-1,Matz Sels,Mario Lemina,Mario Lemina,Pass (Live),,,,Wolves
4,2024-09-15,Matchweek 4,Home,Mario Lemina,Newcastle Utd,Y*,0.43,0.55,Right Foot,8,36,0-0,Nick Pope,Jørgen Strand Larsen,Jørgen Strand Larsen,Pass (Live),Matheus Cunha,Pass (Live),,Wolves
5,2024-09-21,Matchweek 5,Away,Matheus Cunha,Aston Villa,Y,0.03,0.16,Right Foot,25,25,0-0,Emiliano Martínez,,,,,,,Wolves
6,2024-09-28,Matchweek 6,Home,Rayan Aït-Nouri,Liverpool,Y,0.38,0.95,Right Foot,4,56,0-1,Alisson,,Jørgen Strand Larsen,Pass (Live),,,,Wolves
7,2024-10-05,Matchweek 7,Away,Matheus Cunha,Brentford,Y,0.29,0.31,Right Foot,14,4,0-1,Mark Flekken,Nélson Semedo,Nélson Semedo,Pass (Live),Carlos Forbs,Pass (Live),,Wolves
8,2024-10-05,Matchweek 7,Away,Jørgen Strand Larsen,Brentford,Y,0.16,0.93,Right Foot,8,26,1-2,Mark Flekken,Rayan Aït-Nouri,Rayan Aït-Nouri,Pass (Live),Rayan Aït-Nouri,Interception,,Wolves
9,2024-10-05,Matchweek 7,Away,Rayan Aït-Nouri,Brentford,Y,0.06,0.06,Left Foot,11,90+3,2-5,Mark Flekken,Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,Pass (Live),Hwang Hee-chan,Pass (Live),,Wolves
10,2024-10-20,Matchweek 8,Home,Jørgen Strand Larsen,Manchester City,Y,0.54,0.95,Left Foot,11,7,0-0,Ederson,Nélson Semedo,Nélson Semedo,Pass (Live),Santiago Bueno,Pass (Live),,Wolves
11,2024-10-26,Matchweek 9,Away,Rayan Aït-Nouri,Brighton,Y,0.06,0.18,Left Foot,8,88,0-2,Bart Verbruggen,,Craig Dawson,Shot,,,,Wolves
12,2024-10-26,Matchweek 9,Away,Matheus Cunha,Brighton,Y,0.05,0.28,Right Foot,17,90+3,1-2,Bart Verbruggen,Tommy Doyle,Tommy Doyle,Pass (Live),Tommy Doyle,Take-On,Deflected,Wolves
